sic,ff_10ind,ff_10ind_name,ff_10ind_desc
100,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
101,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
102,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
103,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
104,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
105,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
106,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
107,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
108,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
109,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
110,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
111,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
112,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
113,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
114,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
115,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
116,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
117,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
118,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
119,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
120,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
121,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
122,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
123,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
124,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
125,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
126,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
127,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
128,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
129,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
130,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
131,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
132,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
133,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
134,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
135,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
136,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
137,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
138,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
139,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
140,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
141,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
142,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
143,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
144,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
145,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
146,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
147,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
148,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
149,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
150,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
151,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
152,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
153,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
154,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
155,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
156,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
157,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
158,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
159,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
160,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
161,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
162,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
163,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
164,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
165,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
166,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
167,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
168,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
169,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
170,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
171,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
172,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
173,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
174,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
175,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
176,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
177,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
178,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
179,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
180,1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys"
